video_id,title,desc,categoryId,comments,tags,channel_title,view_count,comment_count
u3V5KDHRQvk,Marvel Studios’ Guardians of the Galaxy Volume 3 | Official Trailer,It’s time ,24,10,2,Marvel Entertainment,11570938,23192
ZfVYgWYaHmE,Indiana Jones and the Dial of Destiny | Official Trailer,See #India,1,10,23,Lucasfilm,5797648,12255
2IwhkJ0XzRE,Why I've Been Gone,i am excit,24,10,18,MindofRez,1054398,17173
u18be_kRmC0,RM '들꽃놀이 (with 조유진)' Official MV,RM '들꽃놀이 (,10,10,4,HYBE LABELS,7686530,257207
RcTLBsXvzQk,Most Dangerous Animals!,SUBSCRIBE ,24,10,25,Beast Reacts,3589481,3351
EPWrVyyd3U4,Japan vs. Spain Highlights | 2022 FIFA World Cup,Japan and ,17,10,22,FOX Soccer,2110012,5541
mkHQDPch6fo,Latto - FTCU (feat. GloRilla & Gangsta Boo) [Official Video],Stream/Dow,10,10,29,Latto,303638,2464
CKg3FV5gwMc,RM of BTS: Tiny Desk (Home) Concert,Stephen Th,10,10,9,NPR Music,843777,13951
qyi1DaFZzXQ,Morgan Wallen - Tennessee Fan (Lyric Video),Listen to ,10,10,1,Morgan Wallen,133495,554
LtOqU2o81iI,Tesla Semi Delivery Event,,2,10,15,Tesla,611817,77
